sublineage,time,mean,upper,lower,time_correct,year,upper_log,lower_log,log
L3.1.1.2,50915.77985,41259817.41,8.10E+07,1555102.677,337.7584182,1682.241582,7.908485019,6.191759069,7.050122044
L3.1.1.2,51560.28339,41518513.39,8.15E+07,1530443.845,342.0615903,1677.93841,7.911157609,6.184817399,7.047987504
L3.1.1.2,52204.78693,41736120.02,8.20E+07,1487562.219,346.3241665,1673.675833,7.913813852,6.17247514,7.043144496
L3.1.1.2,52849.29047,41943356.77,8.25E+07,1425214.725,350.5867427,1669.413257,7.916453949,6.153880301,7.035167125
L3.1.1.2,53493.79401,42293720.8,8.32E+07,1379724.867,354.8899149,1665.110085,7.920123326,6.139792492,7.029957909
L3.1.1.2,54138.29756,42599259.59,8.39E+07,1334810.315,359.1524911,1660.847509,7.923761961,6.125419554,7.024590757
L3.1.1.2,54782.8011,42818558.82,8.43E+07,1307111.231,363.4150673,1656.584933,7.925827575,6.116312546,7.02107006
L3.1.1.2,55427.30464,42937652.38,8.46E+07,1265293.629,367.7182394,1652.281761,7.927370363,6.102191321,7.014780842
L3.1.1.2,56071.80818,43296591.27,8.54E+07,1219858.89,371.9808156,1648.019184,7.931457871,6.086309596,7.008883733
L3.1.1.2,56716.31173,43546197.39,8.59E+07,1166866.254,376.2433918,1643.756608,7.933993164,6.06702108,7.000507122
L3.1.1.2,57360.81527,43755016.85,8.64E+07,1122225.595,380.546564,1639.453436,7.936513742,6.05008017,6.993296956
L3.1.1.2,58005.31881,43880535.63,8.67E+07,1096544.413,384.8091401,1635.19086,7.938019097,6.040026226,6.989022662
L3.1.1.2,58649.82235,44211293.26,8.74E+07,1046473.679,389.0717163,1630.928284,7.941511433,6.019728309,6.980619871
L3.1.1.2,59294.3259,44379082.62,8.78E+07,994395.6318,393.3748885,1626.625112,7.943494516,5.997559208,6.970526862
L3.1.1.2,59938.82944,44719375.34,8.85E+07,907789.4522,397.6374647,1622.362535,7.946943271,5.957985132,6.952464201
L3.1.1.2,60583.33298,44949633.43,8.90E+07,855841.9221,401.9000409,1618.099959,7.949390007,5.932393556,6.940891781
L3.1.1.2,61227.83652,45389915.57,9.00E+07,789508.851,406.203213,1613.796787,7.954242509,5.897357003,6.925799756
L3.1.1.2,61872.34006,45450490.97,9.02E+07,705380.9255,410.4657892,1609.534211,7.955206538,5.848423712,6.901815125
L3.1.1.2,62516.84361,45529176.84,9.04E+07,650779.8127,414.7283654,1605.271635,7.95616843,5.813434073,6.884801252
L3.1.1.2,63161.34715,45829056.44,9.11E+07,583745.839,419.0315376,1600.968462,7.959518377,5.766223798,6.862871087
L3.1.1.2,63805.85069,NaN,NaN,NaN,423.2941138,1596.705886,NaN,NaN,NaN
L3.1.1.3,0,177123422,3.52E+08,1842480.877,0,2020,8.546542663,6.265402989,7.405972826
L3.1.1.3,576.1075341,177124493,3.52E+08,1844622.777,4.833907281,2015.166093,8.546542663,6.265907567,7.406225115
L3.1.1.3,1152.215068,177128650.1,3.52E+08,1852937.112,9.667814562,2010.332185,8.546542663,6.26786068,7.407201672
L3.1.1.3,1728.322602,177120267.2,3.52E+08,1836171.287,14.50172184,2005.498278,8.546542663,6.263913192,7.405227928
L3.1.1.3,2304.430136,177101531.5,3.52E+08,1798699.783,19.33562912,2000.664371,8.546542663,6.254958682,7.400750673
L3.1.1.3,2880.537671,177087505.2,3.52E+08,1770647.2,24.16953641,1995.830464,8.546542663,6.248132037,7.39733735
L3.1.1.3,3456.645205,177076397,3.52E+08,1748430.837,29.00344369,1990.996556,8.546542663,6.242648458,7.39459556
L3.1.1.3,4032.752739,177071338.2,3.52E+08,1738313.174,33.83735097,1986.162649,8.546542663,6.240128022,7.393335343
L3.1.1.3,4608.860273,177080944.6,3.52E+08,1757525.968,38.67125825,1981.328742,8.546542663,6.244901751,7.395722207
L3.1.1.3,5184.967807,177095305.8,3.52E+08,1786248.557,43.50516553,1976.494834,8.546542663,6.251941891,7.399242277
L3.1.1.3,5761.075341,177117351.7,3.52E+08,1830340.186,48.33907281,1971.660927,8.546542663,6.262531815,7.404537239
